,OrderId,CustomerId,Subscription,PaidDate,Total,Churn
51,1489,1297,0,2020-05-25,79.0,0
52,1969,1298,0,2020-06-19,69.0,0
53,1490,1298,0,2020-05-25,69.0,0
54,1972,1302,0,2020-06-19,69.0,0
55,1560,1302,0,2020-05-27,69.0,0
56,1964,1293,0,2020-06-19,118.0,0
57,1485,1293,0,2020-05-21,118.0,0
58,1957,1279,0,2020-06-19,59.0,0
59,1470,1279,0,2020-05-17,59.0,0
60,1960,1236,0,2020-06-19,79.0,0
61,1479,1236,0,2020-05-18,79.0,0
62,1427,1236,1,2020-11-05,128.0,0
63,1954,1268,0,2020-06-19,79.0,0
64,1460,1268,0,2020-05-14,79.0,0
65,1955,1269,0,2020-06-19,59.0,0
66,1461,1269,0,2020-05-14,59.0,0
67,1949,1247,0,2020-06-19,69.0,0
68,1437,1247,0,2020-12-05,69.0,0
69,1946,1237,0,2020-06-19,59.0,0
70,1428,1237,0,2020-11-05,59.0,0
71,1710,479,0,2020-06-15,15.0,0
72,591,479,1,2020-03-22,59.0,0
73,1660,419,0,2020-06-15,20.0,0
74,529,419,1,2020-03-20,49.0,0
75,1651,409,0,2020-06-15,30.0,0
76,801,409,1,2020-07-04,98.0,0
77,711,409,1,2020-03-31,98.0,0
78,519,409,1,2020-03-19,138.0,0
79,1639,16,0,2020-06-16,15.0,0
80,612,16,1,2020-03-23,79.0,0
81,498,16,1,2020-03-18,49.0,0
82,1562,957,0,2020-02-06,474.0,0
83,1053,957,1,2020-04-22,49.0,0
84,1482,1290,1,2020-05-20,49.0,0
85,1481,1289,1,2020-05-19,98.0,0
86,1478,1287,1,2020-05-18,98.0,0
87,1476,1281,1,2020-05-18,98.0,0
88,1474,1285,1,2020-05-17,98.0,0
89,1472,1282,1,2020-05-17,94.4,0
90,1469,1278,1,2020-05-16,69.0,0
91,1468,1277,1,2020-05-16,49.0,0
92,1467,1275,1,2020-05-15,49.0,0
93,1466,1274,1,2020-05-15,98.0,0
94,1464,1272,1,2020-05-15,98.0,0
95,1459,1267,1,2020-05-14,49.0,0
96,1458,1266,1,2020-05-14,69.0,0
97,1456,1264,1,2020-05-14,49.0,0
98,1455,1263,1,2020-05-14,49.0,0
99,1454,1262,1,2020-05-13,118.0,0
100,1450,1259,1,2020-05-13,98.0,0
101,1442,631,0,2020-05-13,49.0,1
102,742,631,1,2020-03-04,69.0,1
103,1441,1252,1,2020-12-05,49.0,0
104,1440,1251,1,2020-12-05,98.0,0
105,1438,1248,1,2020-12-05,49.0,0
106,1436,1246,1,2020-12-05,49.0,0
107,1434,1244,1,2020-12-05,118.0,0
108,1433,1243,1,2020-12-05,98.0,0
109,1432,1242,1,2020-12-05,118.0,0
110,1431,1241,1,2020-12-05,69.0,0
111,1429,1238,1,2020-11-05,98.0,0
112,1425,1233,1,2020-11-05,69.0,0
113,1424,1232,1,2020-11-05,98.0,0
114,1423,1231,1,2020-11-05,49.0,0
115,1422,1229,1,2020-11-05,64.0,0
116,1421,1228,1,2020-11-05,49.0,0
117,1420,1227,1,2020-11-05,59.0,0
118,1419,224,1,2020-11-05,49.0,0
119,1418,1225,1,2020-11-05,59.0,0
120,1417,1224,1,2020-11-05,108.0,0
121,1416,1222,1,2020-10-05,69.0,0
122,1415,1221,1,2020-10-05,54.0,0
123,1414,1219,1,2020-10-05,98.0,0
124,1413,1218,1,2020-10-05,49.0,0
125,1412,1208,1,2020-10-05,49.0,0
126,1411,1217,1,2020-10-05,98.0,0
127,1409,1215,1,2020-10-05,59.0,0
128,1408,1214,1,2020-10-05,79.0,0
129,1407,1213,1,2020-10-05,98.0,0
130,1406,1212,0,2020-10-05,49.0,1
131,1405,1210,1,2020-10-05,98.0,0
132,1404,1209,1,2020-10-05,59.0,0
133,1401,1207,1,2020-10-05,98.0,0
134,1356,1206,1,2020-10-05,49.0,0
135,1355,1205,1,2020-09-05,49.0,0
136,1354,1191,1,2020-09-05,49.0,0
137,1353,1204,1,2020-09-05,59.0,0
138,1352,1203,1,2020-09-05,59.0,0
139,1350,1202,1,2020-09-05,49.0,0
140,1349,182,1,2020-09-05,59.0,0
141,335,182,1,2020-02-18,69.0,0
142,1348,1201,1,2020-09-05,98.0,0
143,1345,1198,1,2020-09-05,49.0,0
144,1344,1197,1,2020-09-05,98.0,0
145,1343,1196,1,2020-09-05,49.0,0
146,1342,1195,1,2020-09-05,98.0,0
147,1341,1194,1,2020-09-05,69.0,0
148,1340,1193,1,2020-09-05,49.0,0
149,1339,1192,1,2020-09-05,59.0,0
150,1338,1190,1,2020-09-05,118.0,0
151,1337,1189,1,2020-09-05,49.0,0
152,1336,1188,1,2020-09-05,98.0,0
153,1335,1187,1,2020-08-05,49.0,0
154,1334,1186,1,2020-08-05,49.0,0
155,1333,1185,1,2020-08-05,98.0,0
156,1332,1184,1,2020-08-05,59.0,0
157,1331,1183,1,2020-08-05,59.0,0
158,1330,1182,1,2020-08-05,59.0,0
159,1329,1181,1,2020-08-05,49.0,0
160,1328,818,1,2020-08-05,49.0,0
161,922,818,1,2020-04-15,49.0,0
162,1327,1179,1,2020-08-05,59.0,0
163,1326,1178,1,2020-08-05,59.0,0
164,1324,1177,1,2020-08-05,59.0,0
165,1323,1176,1,2020-08-05,59.0,0
166,1322,1175,1,2020-08-05,59.0,0
167,1321,965,1,2020-08-05,98.0,0
168,1061,965,1,2020-04-22,59.0,0
169,1320,1173,1,2020-07-05,49.0,0
170,1319,1172,1,2020-07-05,49.0,0
171,1318,1171,1,2020-07-05,98.0,0
172,1317,1170,1,2020-07-05,49.0,0
173,1316,1169,1,2020-07-05,64.0,0
174,1315,844,1,2020-07-05,49.0,0
175,947,844,1,2020-04-16,54.0,0
176,1314,843,1,2020-07-05,49.0,0
177,1311,1168,1,2020-07-05,49.0,0
178,1310,1167,1,2020-07-05,59.0,0
179,1309,486,1,2020-07-05,49.0,0
180,598,486,1,2020-03-22,49.0,0
